feature_a,feature_b,abs_corr,kept_feature,kept_iv,dropped_feature,dropped_iv,reason
HR,HR_deviation_from_normal,1.0,HR,0.12880857393150785,HR_deviation_from_normal,0.12880857393150785,abs_corr>=0.8; retained higher IV
EtCO2,EtCO2_deviation_from_normal,0.9999999999999761,EtCO2,0.022632111546485346,EtCO2_deviation_from_normal,0.022632111546485346,abs_corr>=0.8; retained higher IV
MAP,MAP_deviation_from_normal,0.9914397639709736,MAP,0.02456940950853554,MAP_deviation_from_normal,0.02343394143383305,abs_corr>=0.8; retained higher IV
DBP,DBP_deviation_from_normal,0.9909546833820284,DBP_deviation_from_normal,0.02130861695310308,DBP,0.01945094408143473,abs_corr>=0.8; retained higher IV
O2Sat,O2Sat_deviation_from_normal,0.9841497151813157,O2Sat,0.02193639776560064,O2Sat_deviation_from_normal,0.0217059630529933,abs_corr>=0.8; retained higher IV
Resp,Resp_deviation_from_normal,0.9829137609536719,Resp,0.15269109081767138,Resp_deviation_from_normal,0.14213316815125743,abs_corr>=0.8; retained higher IV
EtCO2,EtCO2_avg_6h,0.9702127186892208,EtCO2_avg_6h,0.024786615514933424,EtCO2,0.022632111546485346,abs_corr>=0.8; retained higher IV
Temp,Temp_deviation_from_normal,0.9598483706583694,Temp,0.25434141957325723,Temp_deviation_from_normal,0.22190819589804522,abs_corr>=0.8; retained higher IV
EtCO2_avg_6h,EtCO2_min_6h,0.9584569352437914,EtCO2_avg_6h,0.024786615514933424,EtCO2_min_6h,0.016267504298866215,abs_corr>=0.8; retained higher IV
EtCO2_avg_6h,EtCO2_max_6h,0.9530343983392316,EtCO2_max_6h,0.03287253690925788,EtCO2_avg_6h,0.024786615514933424,abs_corr>=0.8; retained higher IV
HR_avg_6h,HR_min_6h,0.9469359723108927,HR_min_6h,0.14008690477646407,HR_avg_6h,0.1336654853752141,abs_corr>=0.8; retained higher IV
shock_index_avg_6h,shock_index_min_6h,0.9428870104904349,shock_index_min_6h,0.10311129658941821,shock_index_avg_6h,0.09388855065562574,abs_corr>=0.8; retained higher IV
SBP,SBP_deviation_from_normal,0.939408341974213,SBP,0.014411449344946594,SBP_deviation_from_normal,0.013150796397658067,abs_corr>=0.8; retained higher IV
HCO3_drift_from_normal_6h,Chloride_drift_from_normal_6h,0.9347251876954137,Chloride_drift_from_normal_6h,0.03641996183155814,HCO3_drift_from_normal_6h,0.030166688596719612,abs_corr>=0.8; retained higher IV
HCO3_drift_from_normal,Chloride_drift_from_normal,0.9299708145925094,Chloride_drift_from_normal,0.007546038358372513,HCO3_drift_from_normal,0.006358144092452171,abs_corr>=0.8; retained higher IV
Temp_avg_6h,Temp_max_6h,0.9217577679237229,Temp_max_6h,0.32558615940838703,Temp_avg_6h,0.2590708665641833,abs_corr>=0.8; retained higher IV
SBP_avg_6h,SBP_max_6h,0.9210313247843482,SBP_max_6h,0.021437802367182585,SBP_avg_6h,0.01837314116415935,abs_corr>=0.8; retained higher IV
Hct_drift_from_normal,Hgb_drift_from_normal,0.9171305662159136,Hgb_drift_from_normal,0.004978987420926634,Hct_drift_from_normal,0.0047422223971944795,abs_corr>=0.8; retained higher IV
Hct_drift_from_normal_6h,Hgb_drift_from_normal_6h,0.9159325543879584,Hgb_drift_from_normal_6h,0.050508080702365156,Hct_drift_from_normal_6h,0.042846090403765046,abs_corr>=0.8; retained higher IV
MAP_avg_6h,MAP_min_6h,0.8971951625276973,MAP_min_6h,0.0675164145311027,MAP_avg_6h,0.023905294847331268,abs_corr>=0.8; retained higher IV
early_warning_score_avg_6h,early_warning_score_max_6h,0.8869562855401746,early_warning_score_avg_6h,0.28561949140923204,early_warning_score_max_6h,0.2605150089745403,abs_corr>=0.8; retained higher IV
