feature,iv,iv_rank,gain_pct,gain_rank,mean_abs_shap,shap_rank,average_rank
early_warning_score_avg_6h,0.28561949140923204,2,7.630367,2,0.23374365,1,1.6666666666666667
Temp_max_6h,0.32558615940838703,1,3.936177,4,0.21921083,2,2.3333333333333335
Resp_avg_6h,0.20605062087366122,4,2.6942563,6,0.12795934,3,4.333333333333333
pH_drift_from_normal_6h,0.15247647943626266,6,4.2154307,3,0.12326122,5,4.666666666666667
MAP_min_6h,0.0675164145311027,14,1.3855907,11,0.12719554,4,9.666666666666666
HR_max_6h,0.15235584469207492,7,0.9940856,16,0.09299194,6,9.666666666666666
Temp_abs_deviation_from_normal,0.19477230505530427,5,1.0445895,15,0.06258775,9,9.666666666666666
Temp_min_6h,0.21894837116689914,3,1.0893688,14,0.052590556,13,10.0
Magnesium_drift_from_normal_6h,0.06553925756399329,15,1.1295253,13,0.060828388,10,12.666666666666666
HR_drift_from_normal_6h,0.08237716305277272,12,1.6318113,9,0.035563447,24,15.0
Lactate_drift_from_normal_6h,0.060482853832398466,19,1.7207365,8,0.04369156,18,15.0
Temp_drift_from_normal_6h,0.11672881765964185,9,0.90624887,22,0.043738768,17,16.0
Platelets_drift_from_normal_6h,0.055159213637383714,20,0.954106,18,0.055605724,11,16.333333333333332
BaseExcess_drift_from_normal_6h,0.04943402102661811,27,2.374642,7,0.038842317,21,18.333333333333332
Potassium_drift_from_normal_6h,0.08942325014520912,11,1.2050294,12,0.029423725,33,18.666666666666668
O2Sat_min_6h,0.06117664161655745,18,0.7849034,27,0.053001642,12,19.0
WBC_drift_from_normal_6h,0.050964254681682065,24,0.9586278,17,0.041078676,19,20.0
SBP_std_6h,0.018430025749603757,52,1.5477324,10,0.07539313,8,23.333333333333332
BUN_drift_from_normal_6h,0.05231820795281186,23,0.8166209,26,0.03241815,28,25.666666666666668
shock_index_max_6h,0.11190127232859058,10,0.65479976,39,0.029686972,31,26.666666666666668
Creatinine_drift_from_normal_6h,0.04949247164101167,26,0.9283986,20,0.024679372,40,28.666666666666668
MAP_drift_from_normal_6h,0.06250526394852286,17,0.7176111,33,0.025270808,39,29.666666666666668
Phosphate_drift_from_normal_6h,0.04486677373427071,29,0.77909243,30,0.030171053,30,29.666666666666668
MAP_max_6h,0.038201642122898824,34,0.73280734,32,0.03322615,27,31.0
Resp_abs_deviation_from_normal,0.14576040515195376,8,0.58386976,45,0.018666381,44,32.333333333333336
Glucose_drift_from_normal_6h,0.05087847706280638,25,0.50435483,57,0.044047203,16,32.666666666666664
DBP_drift_from_normal_6h,0.043526105300092516,32,0.7705715,31,0.028203176,36,33.0
PTT_drift_from_normal_6h,0.02009420749051492,50,0.78210074,28,0.03489072,26,34.666666666666664
Calcium_drift_from_normal_6h,0.0645247315072428,16,0.59726256,42,0.01712484,46,34.666666666666664
O2Sat_abs_deviation_from_normal,0.02285402072543863,45,0.6680722,38,0.038735513,22,35.0
EtCO2_abs_deviation_from_normal,0.04915195645596167,28,0.8560312,24,0.012087087,53,35.0
O2Sat_max_6h,0.0312983931909643,39,0.57614267,47,0.039440133,20,35.333333333333336
SBP_min_6h,0.029509044760700823,42,0.71120995,34,0.029635642,32,36.0
Chloride_drift_from_normal_6h,0.03641996183155814,35,0.779658,29,0.01618737,47,37.0
SBP_max_6h,0.021437802367182585,48,0.5471747,49,0.04807319,15,37.333333333333336
Temp_std_6h,0.044494476757044384,30,0.58926314,44,0.026129294,38,37.333333333333336
DBP_min_6h,0.041013532310952595,33,0.5905142,43,0.026819168,37,37.666666666666664
EtCO2_std_6h,0.0,102,3.2438505,5,0.08211827,7,38.0
Bilirubin_total_drift_from_normal_6h,0.02271498092602668,46,0.93635684,19,0.014657327,50,38.333333333333336
Resp_std_6h,0.015880318192171262,57,0.57108915,48,0.05103393,14,39.666666666666664
EtCO2_max_6h,0.03287253690925788,37,0.6476446,40,0.015360657,49,42.0
HR_abs_deviation_from_normal,0.07303894849771274,13,0.43491033,62,0.0116798375,54,43.0
EtCO2_hourly_change,0.029941539311084897,41,0.8912673,23,0.004024939,66,43.333333333333336
MAP_std_6h,0.016339957566400342,56,0.68852043,35,0.018422937,45,45.333333333333336
Temp_above_normal,0.0,102,23.250895,1,0.028545417,35,46.0
DBP_max_6h,0.014348405460491178,60,0.580627,46,0.019204821,43,49.666666666666664
Temp_hourly_change,0.004293360142241624,86,0.6694724,37,0.031840798,29,50.666666666666664
SBP_drift_from_normal_6h,0.03305226072523467,36,0.4995686,58,0.0076573663,59,51.0
shock_index_std_6h,0.01879723912431576,51,0.3545453,71,0.028595984,34,52.0
