feature,gain,gain_pct
early_warning_score_avg_6h,0.13349266,13.349266
early_warning_score_max_6h,0.07168824,7.168824
Temp_max_6h,0.036298603,3.6298604
early_warning_score,0.034849655,3.4849656
Temp,0.033282112,3.3282113
PaCO2_drift_from_normal_6h,0.032611176,3.2611177
Resp_avg_6h,0.026282862,2.6282861
EtCO2_std_6h,0.025823854,2.5823853
HR_max_6h,0.021638632,2.1638632
pH_drift_from_normal_6h,0.020152224,2.0152223
Temp_abs_deviation_from_normal,0.019997282,1.9997282
early_warning_score_min_6h,0.018410254,1.8410255
SBP_std_6h,0.017665448,1.7665448
Lactate_drift_from_normal_6h,0.016762622,1.6762621
Resp,0.016497904,1.6497904
Resp_abs_deviation_from_normal,0.012699603,1.2699603
O2Sat_abs_deviation_from_normal,0.012225901,1.2225901
BaseExcess_drift_from_normal_6h,0.012137071,1.2137071
PaCO2_drift_from_normal,0.011251649,1.1251649
MAP_min_6h,0.010557981,1.0557982
BUN_drift_from_normal_6h,0.009213067,0.92130667
WBC_drift_from_normal_6h,0.008928596,0.8928596
HR,0.008746939,0.8746939
DBP_deviation_from_normal,0.008602228,0.8602228
Bilirubin_total_drift_from_normal_6h,0.008571006,0.8571006
Magnesium_drift_from_normal_6h,0.0084091285,0.8409129
Resp_min_6h,0.007872251,0.78722507
Creatinine_drift_from_normal_6h,0.007851142,0.7851142
Resp_std_6h,0.007816311,0.7816311
Lactate_drift_from_normal,0.007307508,0.7307508
SBP_min_6h,0.007283803,0.7283803
MAP_std_6h,0.0071663973,0.71663976
MAP_deviation_from_normal,0.0071493816,0.71493816
O2Sat_min_6h,0.0070579452,0.7057945
Chloride_drift_from_normal_6h,0.006938839,0.6938839
Platelets_drift_from_normal_6h,0.0068945717,0.6894572
shock_index,0.00649856,0.649856
Temp_avg_6h,0.0063897516,0.63897514
HR_deviation_from_normal,0.006105352,0.6105352
EtCO2_min_6h,0.0060235052,0.60235053
Alkalinephos_drift_from_normal,0.0060077216,0.60077214
Alkalinephos_drift_from_normal_6h,0.0059901215,0.59901214
DBP,0.005891125,0.5891125
Temp_std_6h,0.0058180606,0.58180606
PTT_drift_from_normal_6h,0.0058113704,0.58113706
EtCO2_avg_6h,0.0058001797,0.580018
MAP,0.0057782237,0.5778224
EtCO2,0.005681522,0.5681522
Phosphate_drift_from_normal_6h,0.00565224,0.565224
Temp_min_6h,0.005635006,0.5635006
SBP_avg_6h,0.0056202873,0.5620287
pH_drift_from_normal,0.0054077497,0.54077494
Glucose_drift_from_normal_6h,0.0053667077,0.53667074
Gender,0.0053377566,0.5337757
Temp_deviation_from_normal,0.005324825,0.5324825
O2Sat_std_6h,0.0053237826,0.53237826
BaseExcess_drift_from_normal,0.005318837,0.53188366
MAP_avg_6h,0.0052192714,0.5219271
DBP_min_6h,0.0051540635,0.51540637
Temp_hourly_change,0.0047446773,0.47446772
shock_index_avg_6h,0.00473456,0.473456
HR_std_6h,0.004495661,0.44956607
SBP_max_6h,0.004358833,0.4358833
Temp_drift_from_normal_6h,0.00434778,0.43477798
HR_min_6h,0.0043234294,0.43234295
shock_index_min_6h,0.0042495546,0.42495546
O2Sat_avg_6h,0.004156767,0.41567668
Potassium_drift_from_normal_6h,0.0040437113,0.40437114
Hgb_drift_from_normal_6h,0.0039892597,0.39892596
EtCO2_abs_deviation_from_normal,0.0039751506,0.39751506
HR_hourly_change,0.0039524017,0.39524016
DBP_max_6h,0.003924611,0.3924611
Temp_drift_from_normal,0.003864872,0.38648722
DBP_avg_6h,0.0037175778,0.37175778
HCO3_drift_from_normal_6h,0.0037144704,0.37144706
MAP_max_6h,0.0036429765,0.36429766
Calcium_drift_from_normal_6h,0.0034319996,0.34319997
DBP_std_6h,0.0033999283,0.33999282
SBP_abs_deviation_from_normal,0.0033980203,0.33980203
Bilirubin_direct_drift_from_normal_6h,0.0033906072,0.33906072
O2Sat_max_6h,0.0033422844,0.33422843
HR_avg_6h,0.003299521,0.3299521
O2Sat_deviation_from_normal,0.003294739,0.32947388
EtCO2_max_6h,0.0032459628,0.3245963
Hct_drift_from_normal_6h,0.003211732,0.3211732
Age,0.003163291,0.3163291
Resp_max_6h,0.0031582718,0.3158272
shock_index_max_6h,0.0031342048,0.31342047
AST_drift_from_normal_6h,0.002833516,0.2833516
TroponinI_drift_from_normal_6h,0.0027702674,0.27702674
MAP_abs_deviation_from_normal,0.002639964,0.2639964
Fibrinogen_drift_from_normal_6h,0.002522132,0.25221318
DBP_abs_deviation_from_normal,0.0024573628,0.24573629
Resp_deviation_from_normal,0.0024096787,0.24096787
O2Sat,0.0023466898,0.23466899
SBP,0.0022786863,0.22786863
HR_abs_deviation_from_normal,0.0022645383,0.22645383
Glucose_drift_from_normal,0.002221656,0.2221656
BUN_drift_from_normal,0.0021634311,0.21634312
HR_drift_from_normal,0.002114333,0.21143329
shock_index_std_6h,0.0019896522,0.19896522
early_warning_score_std_6h,0.0018985389,0.18985389
SaO2_drift_from_normal_6h,0.001795588,0.1795588
SBP_deviation_from_normal,0.0014062928,0.14062928
Potassium_drift_from_normal,0.0012390156,0.12390156
MAP_drift_from_normal,0.0011947597,0.119475976
O2Sat_drift_from_normal_6h,0.001087141,0.108714096
Creatinine_drift_from_normal,0.0010813844,0.108138435
WBC_drift_from_normal,0.0010510401,0.105104014
EtCO2_deviation_from_normal,0.0010263174,0.10263173
SBP_drift_from_normal_6h,0.0009874869,0.09874869
Calcium_drift_from_normal,0.0008482173,0.08482173
SBP_hourly_change,0.0008464258,0.08464258
Chloride_drift_from_normal,0.0007626466,0.076264665
DBP_drift_from_normal,0.0007619094,0.07619094
PTT_drift_from_normal,0.0007394452,0.073944524
SBP_drift_from_normal,0.0007007997,0.07007997
EtCO2_drift_from_normal_6h,0.00040786943,0.040786944
O2Sat_drift_from_normal,0.00015552263,0.015552264
HR_below_normal,0.0,0.0
O2Sat_hourly_change,0.0,0.0
MAP_hourly_change,0.0,0.0
DBP_hourly_change,0.0,0.0
Resp_hourly_change,0.0,0.0
HR_above_normal,0.0,0.0
TroponinI_drift_from_normal,0.0,0.0
HR_drift_from_normal_6h,0.0,0.0
O2Sat_above_normal,0.0,0.0
MAP_below_normal,0.0,0.0
MAP_drift_from_normal_6h,0.0,0.0
DBP_above_normal,0.0,0.0
DBP_below_normal,0.0,0.0
DBP_drift_from_normal_6h,0.0,0.0
Resp_above_normal,0.0,0.0
Resp_below_normal,0.0,0.0
Resp_drift_from_normal,0.0,0.0
Resp_drift_from_normal_6h,0.0,0.0
EtCO2_above_normal,0.0,0.0
EtCO2_below_normal,0.0,0.0
EtCO2_drift_from_normal,0.0,0.0
SBP_below_normal,0.0,0.0
HCO3_drift_from_normal,0.0,0.0
SBP_above_normal,0.0,0.0
SaO2_drift_from_normal,0.0,0.0
AST_drift_from_normal,0.0,0.0
Temp_below_normal,0.0,0.0
Bilirubin_direct_drift_from_normal,0.0,0.0
Temp_above_normal,0.0,0.0
Magnesium_drift_from_normal,0.0,0.0
Phosphate_drift_from_normal,0.0,0.0
Bilirubin_total_drift_from_normal,0.0,0.0
MAP_above_normal,0.0,0.0
Hct_drift_from_normal,0.0,0.0
Hgb_drift_from_normal,0.0,0.0
O2Sat_below_normal,0.0,0.0
Fibrinogen_drift_from_normal,0.0,0.0
Platelets_drift_from_normal,0.0,0.0
EtCO2_hourly_change,0.0,0.0
