feature,iv,iv_strength
early_warning_score_avg_6h,0.23050649634890874,Medium
early_warning_score_max_6h,0.2120899823649231,Medium
early_warning_score,0.19113687126319365,Medium
Temp_max_6h,0.1894114490280458,Medium
Temp,0.18011806076530198,Medium
Temp_avg_6h,0.16189151300915894,Medium
Temp_deviation_from_normal,0.15894684432484119,Medium
Temp_abs_deviation_from_normal,0.1535197019053445,Medium
early_warning_score_min_6h,0.1529493481013568,Medium
Resp_avg_6h,0.14895396789473295,Medium
Resp_max_6h,0.12518691888956737,Medium
Resp_min_6h,0.12447761709482844,Medium
HR_max_6h,0.12292151602449103,Medium
Temp_min_6h,0.12172667243386306,Medium
Resp,0.11648477351212469,Medium
HR_avg_6h,0.11389475648040498,Medium
HR,0.11353191612510985,Medium
HR_deviation_from_normal,0.11353191612510985,Medium
Resp_abs_deviation_from_normal,0.1132738151568706,Medium
Resp_deviation_from_normal,0.11200772380999799,Medium
pH_drift_from_normal_6h,0.1095175565566538,Medium
shock_index_max_6h,0.08837038702726445,Weak
shock_index,0.0862792723940011,Weak
HR_min_6h,0.08414020571263522,Weak
shock_index_avg_6h,0.08281543474911149,Weak
HR_abs_deviation_from_normal,0.06437012168934043,Weak
shock_index_min_6h,0.06149382395750039,Weak
early_warning_score_std_6h,0.060227949859038274,Weak
Temp_drift_from_normal_6h,0.05222011358683859,Weak
PaCO2_drift_from_normal_6h,0.050583920020469346,Weak
Lactate_drift_from_normal_6h,0.04888373196018367,Weak
BaseExcess_drift_from_normal_6h,0.041331414878909976,Weak
Temp_std_6h,0.03959891628927452,Weak
EtCO2_abs_deviation_from_normal,0.0380804374695942,Weak
MAP_min_6h,0.036905888607020626,Weak
BUN_drift_from_normal_6h,0.03444760052797113,Weak
EtCO2_drift_from_normal_6h,0.034244746299037905,Weak
SBP_std_6h,0.032138748345002854,Weak
Potassium_drift_from_normal_6h,0.03046723241134433,Weak
WBC_drift_from_normal_6h,0.030337182086787172,Weak
EtCO2_drift_from_normal,0.02987332280145008,Weak
shock_index_std_6h,0.029540793053631526,Weak
O2Sat_min_6h,0.028782645871825902,Weak
Calcium_drift_from_normal_6h,0.028771795418562368,Weak
Creatinine_drift_from_normal_6h,0.027783262756869327,Weak
EtCO2_hourly_change,0.027727842013705744,Weak
Magnesium_drift_from_normal_6h,0.027436377816331653,Weak
O2Sat_std_6h,0.026730212028387747,Weak
Phosphate_drift_from_normal_6h,0.024770055853658806,Weak
EtCO2_max_6h,0.024589368392636764,Weak
SBP_min_6h,0.024002728474538704,Weak
MAP_deviation_from_normal,0.022068815485377983,Weak
MAP,0.02206413306806391,Weak
Platelets_drift_from_normal_6h,0.02147809430734786,Weak
Chloride_drift_from_normal_6h,0.02091109564147728,Weak
Bilirubin_total_drift_from_normal_6h,0.020744056582587104,Weak
SBP,0.019981922702185503,Useless
HR_std_6h,0.01963294084608203,Useless
O2Sat_abs_deviation_from_normal,0.01916542579017134,Useless
Resp_std_6h,0.018982380885635437,Useless
HR_drift_from_normal_6h,0.018358084007039657,Useless
Resp_drift_from_normal_6h,0.018099154903088863,Useless
SBP_max_6h,0.017723249599073662,Useless
EtCO2_avg_6h,0.017606112791615156,Useless
SBP_avg_6h,0.017443435240519917,Useless
O2Sat_avg_6h,0.01741249384854111,Useless
DBP_min_6h,0.01697283094876363,Useless
MAP_std_6h,0.01664198501553476,Useless
HCO3_drift_from_normal_6h,0.01620115000488202,Useless
EtCO2_deviation_from_normal,0.016096430227688235,Useless
EtCO2,0.016096430227688235,Useless
SBP_deviation_from_normal,0.01605821441484607,Useless
O2Sat_deviation_from_normal,0.016035033651939222,Useless
MAP_avg_6h,0.016032089370483872,Useless
AST_drift_from_normal_6h,0.01595974070392348,Useless
Lactate_drift_from_normal,0.015854107433889462,Useless
O2Sat,0.015386045402625066,Useless
Hgb_drift_from_normal_6h,0.015381343696454313,Useless
DBP_deviation_from_normal,0.014745172587547716,Useless
SaO2_drift_from_normal_6h,0.014154308175750217,Useless
PaCO2_drift_from_normal,0.013997998123806478,Useless
pH_drift_from_normal,0.01284745212296887,Useless
DBP,0.012411105497316811,Useless
MAP_abs_deviation_from_normal,0.01235391000072676,Useless
BaseExcess_drift_from_normal,0.01124426670006872,Useless
Hct_drift_from_normal_6h,0.010858009050277386,Useless
PTT_drift_from_normal_6h,0.010765950513566588,Useless
DBP_avg_6h,0.010459901656232127,Useless
Glucose_drift_from_normal_6h,0.01043169933995242,Useless
O2Sat_max_6h,0.009761143396039208,Useless
MAP_hourly_change,0.00960243594809279,Useless
DBP_abs_deviation_from_normal,0.009191841387673542,Useless
MAP_drift_from_normal,0.009128934013030105,Useless
Temp_drift_from_normal,0.008473394420186062,Useless
Alkalinephos_drift_from_normal_6h,0.00834404377928902,Useless
EtCO2_min_6h,0.008287575109461641,Useless
HR_hourly_change,0.008229390899914348,Useless
Calcium_drift_from_normal,0.00783058718030696,Useless
Resp_drift_from_normal,0.007654877771658235,Useless
MAP_drift_from_normal_6h,0.007218387838593519,Useless
MAP_max_6h,0.007125476770840765,Useless
HR_drift_from_normal,0.006656328135183177,Useless
BUN_drift_from_normal,0.0066268997977241995,Useless
Potassium_drift_from_normal,0.006502062017754739,Useless
WBC_drift_from_normal,0.006363992826129471,Useless
O2Sat_drift_from_normal_6h,0.006335629827217207,Useless
Bilirubin_total_drift_from_normal,0.006196715909398498,Useless
O2Sat_hourly_change,0.006132961003949011,Useless
Phosphate_drift_from_normal,0.00566762370765495,Useless
SaO2_drift_from_normal,0.005508643584687868,Useless
Chloride_drift_from_normal,0.0050811488656853036,Useless
O2Sat_drift_from_normal,0.005072765137369773,Useless
Creatinine_drift_from_normal,0.004882271448963623,Useless
Temp_hourly_change,0.004676599573723502,Useless
Bilirubin_direct_drift_from_normal_6h,0.004645784312301991,Useless
DBP_max_6h,0.004243497257700419,Useless
HCO3_drift_from_normal,0.004187187559483428,Useless
AST_drift_from_normal,0.004109177841098422,Useless
Magnesium_drift_from_normal,0.004070723883187563,Useless
DBP_drift_from_normal_6h,0.003999840705551426,Useless
SBP_hourly_change,0.003900618522581908,Useless
Resp_hourly_change,0.003516122419303596,Useless
Platelets_drift_from_normal,0.003214263199466615,Useless
SBP_drift_from_normal_6h,0.0032131295051335343,Useless
Fibrinogen_drift_from_normal_6h,0.0032035735523024437,Useless
SBP_abs_deviation_from_normal,0.003201073445495579,Useless
PTT_drift_from_normal,0.0029835815654531642,Useless
Hgb_drift_from_normal,0.002694209596764159,Useless
Hct_drift_from_normal,0.002605018689779199,Useless
Alkalinephos_drift_from_normal,0.0024333782135391854,Useless
SBP_drift_from_normal,0.002265034402832932,Useless
DBP_std_6h,0.0022004511721110676,Useless
Age,0.0015737077674436288,Useless
DBP_hourly_change,0.0015260197402270734,Useless
DBP_drift_from_normal,0.0014618322743439075,Useless
Bilirubin_direct_drift_from_normal,0.0013749067889103864,Useless
Glucose_drift_from_normal,0.0012575275581241288,Useless
Fibrinogen_drift_from_normal,0.0012368183425039982,Useless
TroponinI_drift_from_normal,0.00032443990943668957,Useless
TroponinI_drift_from_normal_6h,0.00010995816610903498,Useless
EtCO2_above_normal,0.0,Useless
Resp_below_normal,0.0,Useless
EtCO2_below_normal,0.0,Useless
DBP_below_normal,0.0,Useless
DBP_above_normal,0.0,Useless
MAP_below_normal,0.0,Useless
Resp_above_normal,0.0,Useless
O2Sat_below_normal,0.0,Useless
MAP_above_normal,0.0,Useless
Gender,0.0,Useless
HR_above_normal,0.0,Useless
Temp_above_normal,0.0,Useless
EtCO2_std_6h,0.0,Useless
O2Sat_above_normal,0.0,Useless
SBP_below_normal,0.0,Useless
SBP_above_normal,0.0,Useless
Temp_below_normal,0.0,Useless
HR_below_normal,0.0,Useless
