feature,0-3h,3-6h,6-12h,12-24h,24-48h
HR,0.11850191377527206,0.10057989720983637,0.08611682771738971,0.05940326081146149,0.045213613897879576
O2Sat,0.02846153012826588,0.02378091792231841,0.009890638220133136,0.016308105063597315,0.02009987693477819
Temp,0.23573772570567847,0.1663144736513098,0.11427964504402043,0.11371239440230382,0.09416791124821586
SBP,0.013181226599800403,0.00891043586501441,0.011775291197041635,0.006994788520134562,0.004469596869111127
MAP,0.017160755783539032,0.01811247633361468,0.010260221973546955,0.010765028836875048,0.004708824915311767
DBP,0.00839653973095353,0.012260590678140535,0.009454385458021783,0.017484893685025638,0.022037348060756388
Resp,0.13316955182777868,0.1287863088594995,0.11446258290433467,0.08291477343147213,0.0685649609175902
EtCO2,0.02232468592954043,0.023585958867531984,0.02296173137270316,0.027098749204947238,0.03592852791542604
BaseExcess,0.20834534106237312,0.19921587795438106,0.1841810591987431,0.19962982739167845,0.1935172049208294
HCO3,0.09513918023935097,0.08318930436672589,0.07302075312079064,0.073360762352411,0.07312753012725151
FiO2,0.43520413052779494,0.40185374822456277,0.3463261261872974,0.3976448260082302,0.4631886420886706
pH,0.4446429497597554,0.295743367669557,0.2654925797266502,0.32048560715839713,0.43891085652410144
PaCO2,0.2019649569778229,0.2035392814535599,0.17841130603009367,0.1794599786708023,0.19807565262262244
SaO2,0.14865882618016657,0.13694827002602988,0.11636291916004318,0.14456651391712053,0.1657910803978723
AST,0.23388816251520844,0.18337923058283231,0.17662430159536147,0.17736563378622827,0.18829282652939805
BUN,0.22461505062324194,0.17235696246025878,0.17050082852968268,0.18600550434673402,0.19770156270832717
Alkalinephos,0.18235622991430644,0.13116675424196172,0.14623125396638795,0.13300949988862432,0.1335308786326104
Calcium,0.18342807194665273,0.14069142872625032,0.13621963235539497,0.1530832676146338,0.14548654790615512
Chloride,0.19142458864684686,0.08614586352606918,0.06919827410364142,0.07410252165805656,0.08882791743986451
Creatinine,0.142293182924289,0.1312739245009236,0.12036519382645955,0.15041835610820936,0.16117799571005048
Bilirubin_direct,0.0,0.0,0.0,0.0,0.0
Glucose,0.07216140000101914,0.05353208967685219,0.034445787598444286,0.05615112526253767,0.05941294924131442
Lactate,0.30726095293409894,0.29418750784792075,0.27024357823714523,0.2954468593079489,0.3131001187341214
Magnesium,0.22464319635270247,0.17114235626770954,0.17352616706448032,0.2085117094621154,0.23070366208942233
Phosphate,0.32021094343955897,0.26430258210188334,0.2648174482935792,0.2818447231007902,0.31593889276565346
Potassium,0.1037564833894605,0.0732506615337448,0.05527456022067606,0.06644477804618833,0.07971997683295756
Bilirubin_total,0.1905207832578821,0.13201351451232426,0.14739083581606383,0.14473694919221775,0.15968804512848397
TroponinI,0.0013507918620509244,0.000698260304049367,0.0003829909262516127,0.0005077994154232004,0.0003328400150520647
Hct,0.1552011335077217,0.12133504851433519,0.1012535302313618,0.12094640880275928,0.14034048981141575
Hgb,0.1892104242797027,0.1486338883256388,0.12527800858640645,0.1615561215442491,0.17077420655950876
PTT,0.16079134448525884,0.14375967748040475,0.1284240439823342,0.14095251439425704,0.12342240731920742
WBC,0.2283882304087563,0.1408910360066355,0.12362291738351891,0.14304445586392972,0.15086481990432263
Fibrinogen,0.07441778734325454,0.07596004772492936,0.06102085600603487,0.07016880105213939,0.0972947974170218
Platelets,0.17662861805705982,0.13407943227430058,0.03021749598628035,0.02453639242801962,0.16763739372370387
Age,0.0030354510491557908,0.00228408873196282,0.0034953843220647965,0.004121750669914996,0.011955293811144284
Gender,0.0,0.0,0.0,0.0,0.0
HR_measured,0.0,0.0,0.0,0.0,0.0
O2Sat_measured,0.0,0.0,0.0,0.0,0.0
Temp_measured,0.0,0.0,0.0,0.0,0.0
SBP_measured,0.0,0.0,0.0,0.0,0.0
MAP_measured,0.0,0.0,0.0,0.0,0.0
DBP_measured,0.0,0.0,0.0,0.0,0.0
Resp_measured,0.0,0.0,0.0,0.0,0.0
EtCO2_measured,0.0,0.0,0.0,0.0,0.0
BaseExcess_measured,0.0,0.0,0.0,0.0,0.0
HCO3_measured,0.0,0.0,0.0,0.0,0.0
FiO2_measured,0.0,0.0,0.0,0.0,0.0
pH_measured,0.0,0.0,0.0,0.0,0.0
PaCO2_measured,0.0,0.0,0.0,0.0,0.0
SaO2_measured,0.0,0.0,0.0,0.0,0.0
AST_measured,0.0,0.0,0.0,0.0,0.0
BUN_measured,0.0,0.0,0.0,0.0,0.0
Alkalinephos_measured,0.0,0.0,0.0,0.0,0.0
Calcium_measured,0.0,0.0,0.0,0.0,0.0
Chloride_measured,0.0,0.0,0.0,0.0,0.0
Creatinine_measured,0.0,0.0,0.0,0.0,0.0
Bilirubin_direct_measured,0.0,0.0,0.0,0.0,0.0
Glucose_measured,0.0,0.0,0.0,0.0,0.0
Lactate_measured,0.0,0.0,0.0,0.0,0.0
Magnesium_measured,0.0,0.0,0.0,0.0,0.0
Phosphate_measured,0.0,0.0,0.0,0.0,0.0
Potassium_measured,0.0,0.0,0.0,0.0,0.0
Bilirubin_total_measured,0.0,0.0,0.0,0.0,0.0
TroponinI_measured,0.0,0.0,0.0,0.0,0.0
Hct_measured,0.0,0.0,0.0,0.0,0.0
Hgb_measured,0.0,0.0,0.0,0.0,0.0
PTT_measured,0.0,0.0,0.0,0.0,0.0
WBC_measured,0.0,0.0,0.0,0.0,0.0
Fibrinogen_measured,0.0,0.0,0.0,0.0,0.0
Platelets_measured,0.0,0.0,0.0,0.0,0.0
HR_hours_since,0.0024998556096685726,0.002941089939622515,0.0048530889625410705,0.009649124925266952,0.01100499003788137
O2Sat_hours_since,0.0043440418223582656,0.006580367053942692,0.011886241702897237,0.015962999302216906,0.018726719732876637
Temp_hours_since,0.00874262329548213,0.016549620244569255,0.002775425705194146,0.004525353687020546,0.008304898235203053
SBP_hours_since,0.009098145599297535,0.011558534298548856,0.011766939223606096,0.0136811656798282,0.013488327992199265
MAP_hours_since,0.003940373888031606,0.005855258176735266,0.008124397262383178,0.011753540040501727,0.014546455496436947
